Node,Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
Ilaria Burattini,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Valentina Pasqual,5,0.0684931506849315,0.0005707762557077625,0.2869930828699308,0.08887715250346258,0.7
Beatrice Nava,7,0.0958904109589041,0.0,0.2927909229279092,0.1520261231341644,1.0
Valentina Anita Carriero,3,0.0410958904109589,0.0,0.24358236445263037,0.030343247719310008,1.0
Martina Dello Buono,10,0.136986301369863,0.006024860476915272,0.31168065989100013,0.1895827671701491,0.5777777777777777
Francesca Giovannetti,4,0.0547945205479452,0.00044393708777270413,0.2927909229279092,0.09413276994704883,0.8333333333333334
Delfina Sol Martinez Pandiani,7,0.0958904109589041,0.0,0.33705001592863965,0.16414986114017197,1.0
Roberta Priore,4,0.0547945205479452,0.0,0.28417942519473544,0.08420825295220034,1.0
Ersilia Russo,11,0.1506849315068493,0.0041600227102510205,0.3150684931506849,0.21850546095215453,0.6363636363636364
Bruno Sartini,7,0.0958904109589041,0.0,0.33705001592863965,0.16414986114017197,1.0
Fabio Mariani,2,0.0273972602739726,0.0,0.29577858540676544,0.06842072545918146,1.0
Sebastian Barzaghi,5,0.0684931506849315,0.00029897803870406603,0.3256887794366631,0.1268470539504898,0.9
Sara Amayeh,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Giulia Renda,3,0.0410958904109589,0.0,0.2814204016491555,0.054152124861000996,1.0
Giulia Manganelli,3,0.0410958904109589,0.0,0.2814204016491555,0.054152124861000996,1.0
Francesca Tomasi,32,0.4383561643835616,0.19652551279263616,0.4831050228310502,0.443511410937013,0.17338709677419356
Giovanni Colavizza,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Marilena Daquino,16,0.2191780821917808,0.04737956319006548,0.38139870223503963,0.2547614110603454,0.30833333333333335
Angelo Di Iorio,10,0.136986301369863,0.013454011741682976,0.3256887794366631,0.18751044581981616,0.5111111111111111
Aldo Gangemi,16,0.2191780821917808,0.09461748930927012,0.38139870223503963,0.22826284025603136,0.35
Paola Maria Carmela Italia,14,0.1917808219178082,0.011351803532168829,0.3256887794366631,0.24149825396147845,0.45054945054945056
Monica Palmirani,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Silvio Peroni,17,0.2328767123287671,0.062428124471503484,0.38648401826484013,0.2536989020424128,0.3161764705882353
Fabio Tamburini,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Fabio Vitali,15,0.2054794520547945,0.03788444347805078,0.37644547233588327,0.2619592812943102,0.3523809523809524
Ivan Heibi,5,0.0684931506849315,0.0012049720953830542,0.26113785017894603,0.06438535465474102,0.8
Tommaso Vitale,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Valentina Presutti,6,0.0821917808219178,0.00038051750380517496,0.24988190836088806,0.04046507955029878,0.8
Andrea Giovanni Nuzzolese,6,0.0821917808219178,0.00038051750380517496,0.24988190836088806,0.04046507955029878,0.8
Francesca Mambelli,4,0.0547945205479452,0.0,0.30836490819003204,0.11912922499234396,1.0
Sebastiano Giacomini,1,0.0136986301369863,0.0,0.23955620966828936,0.0250011944173735,0.0
Francesco Poggi,4,0.0547945205479452,0.0,0.2635118306351183,0.07651418667748897,1.0
Paolo Ciancarini,4,0.0547945205479452,0.0,0.2635118306351183,0.07651418667748897,1.0
Francesco Paolucci,4,0.0547945205479452,0.0,0.31168065989100013,0.10408011980563782,1.0
Luigi Asprino,5,0.0684931506849315,0.0,0.24774616555438472,0.03775337638468531,1.0
Mehwish Alam,5,0.0684931506849315,0.0,0.24774616555438472,0.03775337638468531,1.0
Diego Reforgiato Recupero,5,0.0684931506849315,0.0,0.24774616555438472,0.03775337638468531,1.0
Maria Levchenko,7,0.0958904109589041,0.0,0.2927909229279092,0.1520261231341644,1.0
Giulia Menna,7,0.0958904109589041,0.0,0.2927909229279092,0.1520261231341644,1.0
Matilde Passafaro,7,0.0958904109589041,0.0,0.2927909229279092,0.1520261231341644,1.0
Sara Obbiso,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Enrica Bruno,2,0.0273972602739726,0.0,0.2787144362486828,0.05224559325386643,1.0
David M. Shotton,5,0.0684931506849315,0.0012049720953830542,0.26113785017894603,0.06438535465474102,0.8
Vincent Larivi̬re,4,0.0547945205479452,0.0,0.24774616555438472,0.04161842050988903,1.0
Ludo Waltman,4,0.0547945205479452,0.0,0.24774616555438472,0.04161842050988903,1.0
Claudia Bonsi,6,0.0821917808219178,0.0,0.2988278491738455,0.1472212643476731,1.0
Teresa Gargano,6,0.0821917808219178,0.0,0.2988278491738455,0.1472212643476731,1.0
Mila Fumini,3,0.0410958904109589,0.0,0.2814204016491555,0.05415212486100101,1.0
Stefano De Giorgis,7,0.0958904109589041,0.0,0.33705001592863965,0.16414986114017197,1.0
Sofia Pescarin,7,0.0958904109589041,0.0,0.33705001592863965,0.16414986114017197,1.0
Alessandro Capone,2,0.0273972602739726,0.0,0.23955620966828936,0.04410848581234081,1.0
Dario Brancato,4,0.0547945205479452,0.0,0.28417942519473544,0.08420825295220033,1.0
Laurent Fintoni,2,0.0273972602739726,0.0,0.2869930828699308,0.06852495382507336,1.0
Marco Grasso,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Paolo Bonora,3,0.0410958904109589,0.0,0.2814204016491555,0.07136583580219684,1.0
Ilaria Bartolini,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Ekaterina Baskakova,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Simona Caraceni,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Michele Corazza,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Daniele Donati,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Daniele Ferdani,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Simone Ferriani,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Saverio Giallorenzo,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Andrea Guizzardi,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Giulio Iovine,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Francesca Leonardi,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Michela Milano,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Alberto Musso,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Matteo Romanello,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Giorgio Spedicato,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Elina Stepanyan,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Chiara Tartarini,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Luca Trapin,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
Annafelicia Zufrano,0,0.0,0.0,0.0,1.3396076535724497e-25,0.0
