Author,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient
Ivan Heibi,0.012765957446808512,0.0,0.01895551257253385,4.457361160716545e-19,1.0
Silvio Peroni,0.029787234042553193,0.0005819239861793054,0.029787234042553193,6.837905024162016e-19,0.23809523809523808
Luca Pareschi,0.012765957446808512,0.0,0.01895551257253385,4.457361160716545e-19,1.0
Paolo Ferri,0.012765957446808512,0.0,0.01895551257253385,4.457361160716545e-19,1.0
Valentina Anita Carriero,0.05106382978723405,0.004805116081711818,0.1378723404255319,9.109375626584983e-07,0.45454545454545453
Aldo Gangemi,0.1148936170212766,0.07015396738800994,0.19473494410385864,5.420199590909771e-06,0.17663817663817663
Andrea Giovanni Nuzzolese,0.0425531914893617,0.00018185124568103294,0.13677811550151975,1.0206703350311197e-06,0.6666666666666666
Valentina Presutti,0.08085106382978724,0.00706916409044071,0.14184397163120566,1.3136916373177069e-06,0.30994152046783624
Maria Letizia Mancinelli,0.02127659574468085,0.0,0.13411706267075088,7.172784627666822e-07,1.0
Chiara Veninata,0.02127659574468085,0.0,0.13411706267075088,7.172784627666822e-07,1.0
Erik Boetto,0.029787234042553193,0.0,0.13516896120150187,8.540191799028988e-07,1.0
Maria Pia Fantini,0.029787234042553193,0.0,0.13516896120150187,8.540191799028988e-07,1.0
Davide Golinelli,0.029787234042553193,0.0,0.13516896120150187,8.540191799028988e-07,1.0
Manfredi Greco,0.029787234042553193,0.0,0.13516896120150187,8.540191799028988e-07,1.0
Flavia Rallo,0.029787234042553193,0.0,0.13516896120150187,8.540191799028988e-07,1.0
Luigi Asprino,0.025531914893617023,0.001095350669818758,0.1346409574468085,6.784842810634477e-07,0.5333333333333333
Christian Colonna,0.012765957446808512,0.0,0.10508562532433836,2.2208749716908755e-07,1.0
Fiorela Ciroku,0.025531914893617023,0.0,0.10540698809291431,2.8777004200158526e-07,1.0
Jacopo de Berardinis,0.025531914893617023,0.0,0.10540698809291431,2.8777004200158526e-07,1.0
Delfina Sol Martinez Pandiani,0.025531914893617023,0.0,0.10540698809291431,2.8777004200158526e-07,1.0
Albert Meroño-Peñuela,0.025531914893617023,0.0,0.10540698809291431,2.8777004200158526e-07,1.0
Andrea Poltronieri,0.029787234042553193,0.0033921319027702054,0.13516896120150187,6.725077688478409e-07,0.8095238095238095
Mehwish Alam,0.012765957446808512,0.0,0.13308140967715437,5.774637798196253e-07,1.0
Diego Reforgiato Recupero,0.03404255319148936,0.0004091653027823241,0.13570112246607471,8.214313417184349e-07,0.6428571428571429
Daniele Benati,0.012765957446808512,0.0,0.01276595744680851,1.307655295546657e-20,1.0
Sonia Cavicchioli,0.012765957446808512,0.0,0.01276595744680851,1.307655295546657e-20,1.0
Sandra Costa,0.012765957446808512,0.0,0.01276595744680851,1.307655295546657e-20,1.0
Marzia Faietti,0.012765957446808512,0.0,0.01276595744680851,1.307655295546657e-20,1.0
Alison Clear,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Allen Parrish,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
John Impagliazzo,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Pearl Wang,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Paolo Ciancarini,0.09361702127659574,0.005571922167666849,0.09361702127659574,6.69680604833149e-08,0.2987012987012987
Ernesto Cuadros-Vargas,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Stephen Frezza,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Judith Gal-Ezer,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Shingo Takada,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Arnold Pears,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Heikki Topi,0.0425531914893617,0.0,0.06057571964956195,5.417779621135585e-08,1.0
Marcello Missiroli,0.00851063829787234,0.0,0.049037487335359675,7.250720950082202e-09,1.0
Simone Zani,0.00851063829787234,0.0,0.049037487335359675,7.250720950082202e-09,1.0
Giancarlo Succi,0.03829787234042553,0.00015275504637206767,0.05884498480243161,1.6877483268969752e-08,0.6388888888888888
Sergey Masyagin,0.03829787234042553,0.00015275504637206767,0.05884498480243161,1.6877483268969752e-08,0.6388888888888888
Vladimir Ivanov,0.02127659574468085,0.0,0.052809601745771956,1.2229574153323216e-08,1.0
Ilyuza Gizzatullina,0.02127659574468085,0.0,0.052809601745771956,1.2229574153323216e-08,1.0
Shokhista Ergasheva,0.02127659574468085,0.0,0.052809601745771956,1.2229574153323216e-08,1.0
Matteo Farina,0.02127659574468085,0.0,0.052809601745771956,1.2499725666316583e-08,1.0
Svitlana Yermolaieva,0.025531914893617023,7.274049827241317e-06,0.054199328107502796,1.3612197883600382e-08,0.9333333333333333
Natalia Zagvozkina,0.025531914893617023,7.274049827241317e-06,0.054199328107502796,1.3612197883600382e-08,0.9333333333333333
Marco Farina,0.02127659574468085,0.0,0.052809601745771956,1.2499725666316583e-08,1.0
Andrea Cuzzocrea,0.00425531914893617,0.0,0.04789708065314201,6.542369068866374e-09,0.0
Enrico Daga,0.012765957446808512,0.0,0.13105735781894667,5.04593075608789e-07,1.0
Paul Mulholland,0.012765957446808512,0.0,0.13105735781894667,5.04593075608789e-07,1.0
Bruno Sartini,0.00851063829787234,0.0,0.13006824568446407,4.484102611713621e-07,1.0
Marieke Van Erp,0.00851063829787234,0.0,0.13006824568446407,4.484102611713621e-07,1.0
Dario Brancato,0.01702127659574468,0.0,0.1148936170212766,4.1846101361429717e-07,1.0
Milena Corbellini,0.05106382978723405,0.0020124871188700977,0.11804138735062664,1.0368092794526007e-06,0.5151515151515151
Paola Maria Carmela Italia,0.029787234042553193,0.009492635024549919,0.1160541586073501,4.2664861050860693e-07,0.42857142857142855
Valentina Pasqual,0.025531914893617023,0.01773049645390071,0.15319148936170213,3.597298126175335e-06,0.4666666666666667
Roberta Priore,0.01702127659574468,0.0,0.1148936170212766,4.1846101361429717e-07,1.0
Ilaria Bartolini,0.03404255319148936,0.0004728132387706856,0.03404255319148936,1.1006194063228096e-13,0.5357142857142857
Andrea Di Luzio,0.00425531914893617,0.0,0.018156028368794326,1.8194432125236083e-14,0.0
Nora Reyes,0.025531914893617023,0.0,0.027234042553191493,1.0489982114858583e-13,1.0
Richard Connor,0.025531914893617023,0.0,0.027234042553191493,1.0489982114858583e-13,1.0
Nils M. Kriege,0.025531914893617023,0.0,0.027234042553191493,1.0489982114858583e-13,1.0
Daniyal Kazempour,0.025531914893617023,0.0,0.027234042553191493,1.0489982114858583e-13,1.0
Erich Schubert,0.025531914893617023,0.0,0.027234042553191493,1.0489982114858583e-13,1.0
Jian-Jia Chen,0.025531914893617023,0.0,0.027234042553191493,1.0489982114858583e-13,1.0
Marco Patella,0.00425531914893617,0.0,0.018156028368794326,1.8194432125236083e-14,0.0
Marcella Gola,0.00851063829787234,0.0,0.00851063829787234,4.151534504899743e-24,1.0
Daniele Donati,0.00851063829787234,0.0,0.00851063829787234,4.151534504899743e-24,1.0
Claudia Tubertini,0.00851063829787234,0.0,0.00851063829787234,4.151534504899743e-24,1.0
Simone Ferriani,0.01702127659574468,3.6370249136206584e-05,0.01702127659574468,1.2970756161445502e-19,0.6666666666666666
Gino Cattani,0.01702127659574468,3.6370249136206584e-05,0.01702127659574468,1.2970756161445502e-19,0.6666666666666666
Stoyan Sgourev,0.012765957446808512,0.0,0.013617021276595746,1.1165302823056968e-19,1.0
Frederic Clement Godart,0.012765957446808512,0.0,0.013617021276595746,1.1165302823056968e-19,1.0
David Deichmann,0.00851063829787234,0.0,0.011347517730496453,7.805704683463561e-20,1.0
Saverio Giallorenzo,0.06808510638297872,0.003164211674849973,0.06808510638297872,6.094589011828221e-13,0.24166666666666667
Francesco Montesi,0.01702127659574468,0.0,0.03890577507598784,1.8317351420407812e-13,1.0
Matteo Peressotti,0.01702127659574468,0.0,0.03890577507598784,1.8317351420407812e-13,1.0
Florian Rademacher,0.01702127659574468,0.0,0.03890577507598784,1.8317351420407812e-13,1.0
Stefan Sachweh,0.01702127659574468,0.0,0.03890577507598784,1.8317351420407812e-13,1.0
Luca Bacchiani,0.02127659574468085,0.0,0.04034672970843183,2.8258269811003436e-13,1.0
Marco Bravetti,0.02127659574468085,0.0,0.04034672970843183,2.8258269811003436e-13,1.0
Jacopo Mauro,0.029787234042553193,0.00014548099654482634,0.043574468085106385,3.307572058975205e-13,0.6190476190476191
Ilaria Talevi,0.02127659574468085,0.0,0.04034672970843183,2.8258269811003436e-13,1.0
Giuseppe Zavattaro,0.02127659574468085,0.0,0.04034672970843183,2.8258269811003436e-13,1.0
Fabrizio Montesi,0.02127659574468085,0.0,0.04034672970843183,2.6188287684278315e-13,1.0
Marco Peressotti,0.02127659574468085,0.0,0.04034672970843183,2.6188287684278315e-13,1.0
David Richter,0.02127659574468085,0.0,0.04034672970843183,2.6188287684278315e-13,1.0
Guido Salvaneschi,0.02127659574468085,0.0,0.04034672970843183,2.6188287684278315e-13,1.0
Pascal Weisenburger,0.02127659574468085,0.0,0.04034672970843183,2.6188287684278315e-13,1.0
Martin Gyde Poulsen,0.012765957446808512,0.0,0.03756419662509171,1.7649270774705942e-13,1.0
Filip Siroky,0.012765957446808512,0.0,0.03756419662509171,1.7649270774705942e-13,1.0
Andrea Guizzardi,0.01702127659574468,0.00010911074740861975,0.01702127659574468,2.6595322977667458e-20,0.5
Flavio Pons,0.012765957446808512,0.0,0.013617021276595746,2.448631207858181e-20,1.0
Giovanni Angelini,0.012765957446808512,0.0,0.013617021276595746,2.448631207858181e-20,1.0
Ercolino Ranieri,0.012765957446808512,0.0,0.013617021276595746,2.448631207858181e-20,1.0
Marco Mariani,0.00425531914893617,0.0,0.00972644376899696,8.617693121926828e-21,0.0
Giulio Iovine,0.00425531914893617,0.0,0.00425531914893617,4.8713955862323085e-29,0.0
Carlotta Capuccino,0.00425531914893617,0.0,0.00425531914893617,4.8713955862323085e-29,0.0
Michele Lombardi,0.06808510638297872,0.00292780505546463,0.09078014184397162,0.07008865154791397,0.425
Federico Baldo,0.012765957446808512,0.0,0.07143355423787932,0.01849461582142059,1.0
