Author,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient
Anna Sofia Lippolis,0.008368200836820083,0.0,0.008368200836820083,5.300294476615183e-14,1.0
Giorgia Lodi,0.008368200836820083,0.0,0.008368200836820083,5.300294476615183e-14,1.0
Andrea Giovanni Nuzzolese,0.008368200836820083,0.0,0.008368200836820083,5.300294476615183e-14,1.0
Jacopo de Berardinis,0.025104602510460247,0.0,0.1694560669456067,2.292393929953136e-05,1.0
Albert Meroño-Peñuela,0.025104602510460247,0.0,0.1694560669456067,2.292393929953136e-05,1.0
Andrea Poltronieri,0.025104602510460247,0.0,0.1694560669456067,2.292393929953136e-05,1.0
Valentina Presutti,0.06694560669456066,0.13771450002595154,0.22318603939177467,0.0004255405809787419,0.20833333333333334
Nicolas Lazzari,0.03347280334728033,0.008148866241057122,0.20955635759685715,0.00021678141054860662,0.6428571428571429
Allegra De Filippo,0.02928870292887029,0.009915263176400268,0.17457477167051372,1.4357755029668662e-05,0.6190476190476191
Michela Milano,0.09623430962343095,0.07747617875602124,0.17913137256240316,1.551492450852268e-05,0.17391304347826086
Alessandro Saffiotti,0.012552301255230124,0.0,0.17347161355569216,1.422529238812246e-05,1.0
Delfina Sol Martinez Pandiani,0.012552301255230124,0.0,0.20757567368762406,0.00021330587580535598,1.0
Marieke Van Erp,0.02928870292887029,0.09360982886878588,0.27247526397209215,0.0061905757090265105,0.42857142857142855
Giulia Renda,0.012552301255230124,0.0005889385042720018,0.19928771575454288,0.00022546949996762191,0.6666666666666666
Marilena Daquino,0.03765690376569037,0.06214829027845433,0.2583706620723603,0.006584481692692272,0.3055555555555556
Luigi Asprino,0.008368200836820083,0.005660841742554763,0.16867516341129515,1.330018880604792e-05,0.0
Valentina Anita Carriero,0.025104602510460247,0.0,0.1694560669456067,2.2923939299531354e-05,1.0
Nitisha Jain,0.025104602510460247,0.0,0.1694560669456067,2.2923939299531354e-05,1.0
Lucia Giagnolini,0.02928870292887029,0.0009317534545198834,0.23923209451144475,0.006738885155630445,0.5238095238095238
Francesca Mambelli,0.012552301255230124,0.0,0.23716529455886207,0.0059912685962945035,1.0
