Metric,Value
Number of Nodes,74.0
Number of Edges,158.0
Average Degree,4.27027027027027
Density,0.058496853017400964
Number of Connected Components,28.0
Average Clustering Coefficient,0.5312082859758381
Assortativity,-0.22731270077066254
